"volume","sizeindex","species","xleft","ybottom","xright","ytop"
"100",144.81313,"delonix_regia",102,0,150,600
"100",157.500915,"waterhousea_floribunda",102,0,150,600
"100",230.2118,"adansonia_gregorii",102,0,150,600
"100",206.1225,"acer_freemanii_autumnblaze",102,0,150,600
"100",112.99884,"angophora_costata",102,0,150,600
"100",98.27559,"zelkova_serrata_greenvase",102,0,150,600
"100",73.73027,"elaeocarpus_eumundii",102,0,150,600
"100",161.53969,"lophostemon_confertus",102,0,150,600
"100",134.57151,"jacaranda_mimosifolia",102,0,150,600
"100",111.847225,"delonix_regia",102,0,150,600
"100",48.477,"agonis_flexuosa",102,0,150,600
"100",78.054755,"olea_europaea",102,0,150,600
"100",174.34718,"acer_freemanii_autumnblaze",102,0,150,600
"100",148.0896,"brachychiton_rupestris",102,0,150,600
"100",107.5545,"ficus_microcarpa_hilliiflash",102,0,150,600
"100",100.813,"lophostemon_confertus",102,0,150,600
"100",208.79068,"lophostemon_confertus",102,0,150,600
"100",128.51745,"banksia_integrifolia",102,0,150,600
"100",107.34548,"acer_freemanii_autumnblaze",102,0,150,600
"100",188.92565,"corymbia_maculata",102,0,150,600
"100",106.709887934368,"magnolia_grandiflora_littlegem",102,0,150,600
"100",77.32521,"olea_europaea_mission",102,0,150,600
"100",143.68275,"pistacia_chinensis",102,0,150,600
"100",104.49544,"syzygium_armstrongii",102,0,150,600
"100",112.979985,"corymbia_citriodora",102,0,150,600
"100",113.63632,"angophora_costata",102,0,150,600
"100",140.89425,"delonix_regia",102,0,150,600
"100",87.776,"olea_europaea",102,0,150,600
"100",115.41854,"delonix_regia",102,0,150,600
"100",191.049,"acer_freemanii_autumnblaze",102,0,150,600
"100",237.67605,"adansonia_gregorii",102,0,150,600
"100",108.18892,"melaleuca_rhaphiophylla",102,0,150,600
"100",94.789125,"elaeocarpus_reticulatus_primadonna",102,0,150,600
"100",43.09974,"agonis_flexuosa",102,0,150,600
"100",95.41067,"peltophorum_pterocarpum",102,0,150,600
"100",47.71166,"eucalyptus_leucoxylon_rosea",102,0,150,600
"100",167.81134,"lophostemon_confertus",102,0,150,600
"100",107.44336,"lagerstroemia_indica_sioux",102,0,150,600
"100",191.43993,"brachychiton_acerifolius",102,0,150,600
"100",155.20245,"jacaranda_mimosifolia",102,0,150,600
"100",108.70518,"olea_europaea_tolleysupright",102,0,150,600
"100",263.88573,"eucalyptus_pilularis",102,0,150,600
"100",250.0656,"eucalyptus_pilularis",102,0,150,600
"100",57.51865,"melaleuca_rhaphiophylla",102,0,150,600
"100",95.5808193837239,"lagerstroemia_indica_sioux",102,0,150,600
"100",171.498,"corymbia_maculata",102,0,150,600
"100",159.182935,"ficus_benjamina",102,0,150,600
"100",251.60625,"brachychiton_acerifolius",102,0,150,600
"100",122.07636,"araucaria_heterophylla",102,0,150,600
"100",106.16562,"acer_freemanii",102,0,150,600
"100",131.41332,"jacaranda_mimosifolia",102,0,150,600
"100",109.11545,"brachychiton_acerifolius",102,0,150,600
"100",139.71988,"elaeocarpus_reticulatus",102,0,150,600
"100",117.64,"liquidambar_styraciflua",102,0,150,600
"100",49.309605,"eucalyptus_sideroxylon",102,0,150,600
