"nursery","species","genus_species","volume","climate_region","origin","leaf_type","calliper300.mean","rcd.mean","height_m.mean","sizeindex.mean","calliper300.se","rcd.se","height_m.se","sizeindex.se","longitude","latitude","tmean_1","tmean_2","tmean_3","tmean_4","tmean_5","tmean_6","tmean_7","tmean_8","tmean_9","tmean_10","tmean_11","tmean_12","prec_1","prec_2","prec_3","prec_4","prec_5","prec_6","prec_7","prec_8","prec_9","prec_10","prec_11","prec_12","MAT","MAP"
"alpine","eucalyptus_saligna","eucalyptus_saligna",45,"New South Wales","native","evergreen",37.9585714285714,51.7192857142857,3.21657142857143,121.833384642857,0.976077937317213,1.30199813232497,0.055244184646039,3.0046813860047,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","eucalyptus_pilularis","eucalyptus_pilularis",25,"New South Wales","native","evergreen",10.7248888888889,19.5613333333333,1.16888888888889,12.752155,0.213378516101218,0.288783384969329,0.0329622867179905,0.574827399053315,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","brachychiton_acerifolius","brachychiton_acerifolius",75,"New South Wales","native","deciduous",48.9164705882353,62.3679411764706,2.36341176470588,115.895987941176,0.808690136059028,1.38732080578577,0.0549495128453175,3.80244672895863,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","angophora_costata","angophora_costata",25,"New South Wales","native","evergreen",12.1998571428571,20.3051428571429,1.14742857142857,14.16155,0.361962988829124,0.529628515986421,0.0232391398947814,0.619303468652214,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","eucalyptus_pilularis","eucalyptus_pilularis",100,"New South Wales","native","evergreen",54.3402631578947,75.788947368421,4.71489473684211,256.844122368421,0.907285769155946,1.34852445780431,0.0665539790918919,7.03842070889124,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","eucalyptus_pilularis","eucalyptus_pilularis",300,"New South Wales","native","evergreen",61.35125,84.81,3.68125,226.4385575,2.02163751181231,2.32545604846304,0.12764232252666,13.9013262183244,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","olea_europaea","olea_europaea",65,"New South Wales","non-native","evergreen",27.6894736842105,34.6744736842105,2.54573684210526,70.6431734210526,0.57686842312013,0.896616764307667,0.0474601613239596,2.25188572676837,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","banksia_integrifolia","banksia_integrifolia",45,"New South Wales","native","evergreen",34.565,53.435,2.28066666666667,80.8749258333333,1.90366444872339,2.24554187966587,0.299401031691238,14.3885878768797,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","ulmus_parvifolia","ulmus_parvifolia",200,"New South Wales","non-native","deciduous",57.1426666666667,74.3576666666667,3.5334,202.917909,1.52570560309045,2.08227930670002,0.0790400019278966,9.0369139166775,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
"alpine","banksia_integrifolia","banksia_integrifolia",200,"New South Wales","native","evergreen",75.8283333333333,99.5333333333333,3.68333333333333,279.941645,4.84958274264681,4.31125787264511,0.0812451707966559,23.5446204627004,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.6916666666667,1175
