"species","nursery","date","batch_id","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","climate_region","genus_species","variety","origin","leaf_type"
"acer_freemanii","freshford","2016-11-01","AF_100",100,34.485,38.555,3.362,115.93857,2.06422793942841,2,0.526597709103452,1.53763023032496,1.5860807074609,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,21.425,21.72,2.683,57.483275,1.75954150326717,1.30102999566398,0.428620672671939,1.33092083059524,1.33685982091681,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_200",200,41,53.665,3.636,149.076,2.17340773126967,2.30102999566398,0.56062387454993,1.61278385671974,1.72969113369648,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_200",200,47.86,60.055,3.946,188.85556,2.27612977519359,2.30102999566398,0.596157080916172,1.67997269427742,1.77854917130615,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,18.31,19.915,1.934,35.41154,1.54914481404868,1.30102999566398,0.286456469746983,1.2626883443017,1.29918031074535,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,18.33,20.915,2.293,42.03069,1.62356651969216,1.30102999566398,0.360404054729939,1.26316246496222,1.32045786891665,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_100",100,33.115,41.66,3.083,102.093545,2.00899828410942,2,0.488973524726508,1.52002475938291,1.61971926561173,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,22.405,30.065,2.4,53.772,1.73055618996067,1.60205999132796,0.380211241711606,1.35034494824906,1.47806120818152,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,19.855,22.02,2.414,47.92997,1.68060715716123,1.30102999566398,0.38273726576133,1.2978698913999,1.34281731463573,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,19.97,22.075,2.737,54.65789,1.73765286228083,1.30102999566398,0.437274797410124,1.3003780648707,1.34390071224961,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,17.405,19.34,2.557,44.504585,1.64840475564664,1.30102999566398,0.407730728026335,1.24067402762031,1.28645646974698,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,17.47,19.47,2.355,41.14185,1.61428381644785,1.30102999566398,0.371990911464915,1.24229290498293,1.28936595152003,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,26.865,29.45,3.644,97.89606,1.99076521320567,1.60205999132796,0.561578368300961,1.42918684490471,1.46908529912312,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,15.72,18.865,1.851,29.09772,1.46385896045629,1.30102999566398,0.267406418752904,1.19645254170339,1.27565680953701,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,19.305,20.825,2.211,42.683355,1.63025854853878,1.30102999566398,0.344588742578714,1.28566980596007,1.31858501007883,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,19.305,21.635,2.205,42.567525,1.62907839976393,1.30102999566398,0.343408593803857,1.28566980596007,1.33515689953474,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_100",100,34.595,40.605,3.24,112.0878,2.04955834514612,2,0.510545010206612,1.53901333493951,1.60857951482619,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_100",100,34.825,39.185,3.37,117.36025,2.06952102596734,2,0.527629900871339,1.541891125096,1.59311985110394,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","cleveland","2016-11-04","AF_35",35,24.925,38.42,3.136,78.1648,1.89301122099609,1.54406804435028,0.496376054012401,1.39663516698369,1.58455736052567,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,16.92,19.005,2.455,41.5386,1.61845185516199,1.30102999566398,0.390051496458987,1.228400358703,1.27886787393912,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_200",200,44.645,57.96,4.15,185.27675,2.26782092401277,2.30102999566398,0.618048096712093,1.64977282730068,1.76312837679914,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,17.245,21.29,2.168,37.38716,1.57272247656976,1.30102999566398,0.336059277866349,1.23666319870341,1.32817566143832,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,17.355,20.215,2.311,40.107405,1.60322456348654,1.30102999566398,0.363799945479109,1.23942461800743,1.30567374566969,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_100",100,33.445,39.89,3.1,103.6795,2.01569289412292,2,0.491361693834273,1.52433120028865,1.60086403630984,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,26.775,31.21,2.955,79.120125,1.89828696472117,1.60205999132796,0.470557485217274,1.42772947950389,1.49429376866533,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,18.96,24.11,2.386,45.23856,1.65550877233637,1.30102999566398,0.377670439334323,1.27783833300205,1.38219721037745,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_40",40,27.455,31.985,3.037,83.380835,1.92106623996366,1.60205999132796,0.482444791918265,1.4386214480454,1.50494635505358,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,19.305,20.27,2.367,45.694935,1.65986806388915,1.30102999566398,0.374198257929083,1.28566980596007,1.30685374869301,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,15.89,18.595,2.093,33.25777,1.52189312554607,1.30102999566398,0.320769228338686,1.20112389720738,1.26939618269499,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","2016-11-01","AF_20",20,16.13,18.85,2.416,38.97008,1.59073129733806,1.30102999566398,0.383096929949094,1.20763436738896,1.27531135454181,"South Australia","acer_freemanii",NA,"non-native","deciduous"
